store_id,product_id,brand,brand_confidence,variant_tokens,identity_status,identity_version
29631686,22646305634,Specially Selected,lexicon,hot,resolved,v1
29631686,22646327493,Specially Selected,lexicon,,resolved,v1
29631686,29918593051,Specially Selected,lexicon,chocolate,resolved,v1
29631686,23126330571,Specially Selected,lexicon,chocolate,resolved,v1
29631686,1000033272212002,Specially Selected,lexicon,,resolved,v1
29631686,1000030409614152,Specially Selected,lexicon,,resolved,v1
29631686,22646327509,Specially Selected,lexicon,,resolved,v1
29631686,22646305620,Specially Selected,lexicon,garlic,resolved,v1
29631686,22646327518,Specially Selected,lexicon,,resolved,v1
29631686,22646327521,Specially Selected,lexicon,,resolved,v1
29631686,42767019613,Specially Selected,lexicon,,resolved,v1
29631686,35351270624,Specially Selected,lexicon,,resolved,v1
29631686,22646327520,Specially Selected,lexicon,garlic,resolved,v1
29631686,22646327485,Specially Selected,lexicon,,resolved,v1
29631686,29918593050,Specially Selected,lexicon,vanilla,resolved,v1
29631686,1000031863773626,Specially Selected,lexicon,,resolved,v1
29631686,22646327487,Specially Selected,lexicon,original,resolved,v1
29631686,22646305621,Specially Selected,lexicon,roasted,resolved,v1
29631686,22646327505,Specially Selected,lexicon,,resolved,v1
29631686,22646327491,Specially Selected,lexicon,chocolate sliced,resolved,v1
29631686,22646305640,Specially Selected,lexicon,sliced,resolved,v1
29631686,1000030409614140,Specially Selected,lexicon,,resolved,v1
29631686,23139649463,Specially Selected,lexicon,vanilla,resolved,v1
29631686,22646306031,Lacura,lexicon,,resolved,v1
29631686,1000038340833328,,unknown,,brand_unknown,v1
29631686,1000038340833327,,unknown,,brand_unknown,v1
29631686,1000038340833326,,unknown,,brand_unknown,v1
29631686,40999885854,Welby,lexicon,,resolved,v1
29631686,1000031863773491,Aldi,lexicon,sour,resolved,v1
29631686,1000031863773490,Aldi,lexicon,sour,resolved,v1
29631686,1000042024938208,,unknown,,brand_unknown,v1
29631686,1000042024938209,,unknown,,brand_unknown,v1
29631686,1000042024938210,,unknown,,brand_unknown,v1
29631686,32324118194,Built,lexicon,,resolved,v1
29631686,1000036003829027,Choceur,lexicon,chocolate,resolved,v1
29631686,1000036003829028,Choceur,lexicon,chocolate,resolved,v1
29631686,1000030409614260,Choceur,lexicon,blueberry chocolate dark,resolved,v1
29631686,27704751569,Choceur,lexicon,caramel chocolate milk salted,resolved,v1
29631686,1000038340833295,Choceur,lexicon,,resolved,v1
29631686,24222455840,Choceur,lexicon,chocolate milk,resolved,v1
29631686,22646258218,Choceur,lexicon,chocolate dark,resolved,v1
29631686,22646258265,Choceur,lexicon,chocolate dark,resolved,v1
29631686,22646258266,Choceur,lexicon,almond chocolate dark,resolved,v1
29631686,1000030409614259,Choceur,lexicon,chocolate dark,resolved,v1
29631686,22646258249,Choceur,lexicon,chocolate coconut dark,resolved,v1
29631686,27704751568,Choceur,lexicon,almond chocolate dark,resolved,v1
29631686,23584437182,Choceur,lexicon,chocolate,resolved,v1
29631686,1000036863851359,Choceur,lexicon,,resolved,v1
29631686,22646258219,Choceur,lexicon,chocolate milk,resolved,v1
29631686,22646258221,Choceur,lexicon,chocolate milk,resolved,v1
29631686,22646258220,Choceur,lexicon,chocolate milk,resolved,v1
29631686,22646258244,Choceur,lexicon,chocolate hazelnut milk,resolved,v1
29631686,26567473855,Choceur,lexicon,chocolate honey milk salted,resolved,v1
29631686,22646258246,Choceur,lexicon,chocolate milk,resolved,v1
29631686,22646258245,Choceur,lexicon,chocolate milk strawberry,resolved,v1
29631686,22646258257,Choceur,lexicon,chocolate milk peanut,resolved,v1
29631686,22646258242,Choceur,lexicon,chocolate dark,resolved,v1
29631686,27704751567,Choceur,lexicon,chocolate milk sea-salt,resolved,v1
29631686,41132457060,Excitemint,lexicon,grape,resolved,v1
29631686,40999894762,Excitemint,lexicon,peppermint,resolved,v1
29631686,41088730736,Excitemint,lexicon,,resolved,v1
29631686,1000033990923003,Excitemint,lexicon,peppermint sugar-free,resolved,v1
29631686,1000032999710062,Excitemint,lexicon,red sugar-free,resolved,v1
29631686,1000030409614258,Excitemint,lexicon,sugar-free yellow,resolved,v1
29631686,1000032999710061,Excitemint,lexicon,mint sugar-free,resolved,v1
29631686,1000032247130014,,unknown,peppermint,brand_unknown,v1
29631686,1000031863773485,,unknown,,brand_unknown,v1
29631686,1000031863773484,Extra Spearmint,lexicon,,resolved,v1
29631686,1000031968111007,,unknown,,brand_unknown,v1
29631686,22646258200,Fruit,lexicon,,resolved,v1
29631686,23517010157,Haribo,lexicon,,resolved,v1
29631686,1000042024938223,Haribo,lexicon,,resolved,v1
29631686,1000038340833297,Haribo,lexicon,,resolved,v1
29631686,1000038340833296,Haribo,lexicon,,resolved,v1
29631686,24879664414,Haribo,lexicon,peach,resolved,v1
29631686,24879664417,Haribo,lexicon,sour,resolved,v1
29631686,24879664416,Haribo,lexicon,,resolved,v1
29631686,24879664415,Haribo,lexicon,,resolved,v1
29631686,38818733755,Jovy,lexicon,peach spicy,resolved,v1
29631686,38818733756,Jovy,lexicon,spicy,resolved,v1
29631686,40999894758,Kinder Bueno,lexicon,chocolate creamy hazelnut,resolved,v1
29631686,23584437169,Kinder,lexicon,chocolate,resolved,v1
29631686,22646258203,Kit Kat,lexicon,chocolate milk,resolved,v1
29631686,36764126191,Life Savers,lexicon,,resolved,v1
29631686,36923966782,Life Savers,lexicon,,resolved,v1
29631686,36875538157,Life Savers,lexicon,green,resolved,v1
29631686,1000042024938217,M&M's,lexicon,,resolved,v1
29631686,41809678316,M&M's,lexicon,chocolate milk,resolved,v1
29631686,1000031863773489,Mamba,lexicon,,resolved,v1
29631686,40948842101,Mamba,lexicon,,resolved,v1
29631686,40999894759,,unknown,chocolate,brand_unknown,v1
29631686,1000042024938213,,unknown,,brand_unknown,v1
29631686,1000042024938211,,unknown,,brand_unknown,v1
29631686,33573022553,Mentos,lexicon,fresh mint sugar-free,resolved,v1
29631686,33573022554,Mentos,lexicon,fresh sugar-free,resolved,v1
29631686,1000031863773487,Mentos,lexicon,mint sweet,resolved,v1
29631686,36610169061,Moser Roth,lexicon,chocolate dark,resolved,v1
29631686,36610169062,Moser Roth,lexicon,chocolate dark,resolved,v1
29631686,22646258254,Moser Roth,lexicon,chocolate dark mint,resolved,v1
29631686,25538831882,Moser Roth,lexicon,chocolate,resolved,v1
29631686,22646258256,Moser Roth,lexicon,chocolate dark sea-salt,resolved,v1
29631686,25264963059,Moser Roth,lexicon,chocolate milk,resolved,v1
29631686,22646258267,Moser Roth,lexicon,chocolate milk,resolved,v1
29631686,23584437176,Moser Roth,lexicon,almond chocolate dark raspberry,resolved,v1
29631686,22646258258,Moser Roth,lexicon,chocolate,resolved,v1
29631686,40837270829,,unknown,chocolate milk,brand_unknown,v1
29631686,22646258205,Reese's,lexicon,chocolate milk peanut,resolved,v1
29631686,23584437170,Reese's,lexicon,chocolate milk peanut,resolved,v1
29631686,22824548568,Season's Choice,lexicon,chocolate strawberry,resolved,v1
29631686,22824548569,Season's Choice,lexicon,banana chocolate peanut,resolved,v1
29631686,24617206800,Simply Nature,lexicon,chocolate coconut dark,resolved,v1
29631686,24617206801,Simply Nature,lexicon,coconut,resolved,v1
29631686,1000042024938212,Skittles,lexicon,,resolved,v1
29631686,1000031863773483,Skittles,lexicon,,resolved,v1
29631686,40999894760,Snickers,lexicon,caramel chocolate milk,resolved,v1
29631686,35834142792,Sour Patch,lexicon,,resolved,v1
29631686,1000042024938224,Sour Patch,lexicon,,resolved,v1
29631686,35834142793,Sour Patch,lexicon,,resolved,v1
29631686,1000008877920008,Specially Selected,lexicon,chocolate dark,resolved,v1
29631686,1000008877920005,Specially Selected,lexicon,chocolate milk,resolved,v1
29631686,1000042024938227,SweeTarts,lexicon,,resolved,v1
29631686,1000042024938225,Tootsie Roll,lexicon,,resolved,v1
29631686,1000042024938226,Tootsie Roll Pops,lexicon,,resolved,v1
29631686,1000031863773488,Werther's,lexicon,original,resolved,v1
29631686,1000001800692014,Aldi,lexicon,,resolved,v1
29631686,1000013513780191,Barissimo,lexicon,caramel,resolved,v1
29631686,25898873063,Barissimo,lexicon,cinnamon,resolved,v1
29631686,25898873064,Barissimo,lexicon,coconut,resolved,v1
29631686,22646325360,Barissimo,lexicon,hazelnut,resolved,v1
29631686,35309877746,Barissimo,lexicon,sweet,resolved,v1
29631686,35305143638,Barissimo,lexicon,vanilla,resolved,v1
29631686,22646325334,Barissimo,lexicon,sweet,resolved,v1
29631686,1000030409614306,Barissimo,lexicon,almond caramel milk,resolved,v1
29631686,1000030409614311,Barissimo,lexicon,almond vanilla,resolved,v1
29631686,33689662934,Barissimo,lexicon,vanilla,resolved,v1
29631686,22646303790,Barissimo,lexicon,original,resolved,v1
29631686,1000009492330006,Barissimo,lexicon,sugar-free vanilla,resolved,v1
29631686,1000009492330007,Barissimo,lexicon,hazelnut sugar-free,resolved,v1
29631686,1000038340833045,Barissimo,lexicon,milk vanilla,resolved,v1
29631686,22646325387,Barissimo,lexicon,vanilla,resolved,v1
29631686,1000036003829023,Berryhill,lexicon,maple,resolved,v1
29631686,22646303717,Cacique,lexicon,,resolved,v1
29631686,1000040076588123,Chobani,lexicon,cherry vanilla,resolved,v1
29631686,1000040608402021,Chobani,lexicon,strawberry,resolved,v1
29631686,44216925438,Chobani,lexicon,,resolved,v1
29631686,44216925437,Chobani,lexicon,,resolved,v1
29631686,1000040076588124,Chobani,lexicon,,resolved,v1
29631686,1000001800692013,Chobani,lexicon,strawberry,resolved,v1
29631686,22646303751,Countryside Creamery,lexicon,,resolved,v1
29631686,32303887047,Countryside Creamery,lexicon,salted,resolved,v1
29631686,1000030409614281,Countryside Creamery,lexicon,salted,resolved,v1
29631686,22646303836,Countryside Creamery,lexicon,light,resolved,v1
29631686,1000013692600004,Countryside Creamery,lexicon,,resolved,v1
29631686,22646303710,Countryside Creamery,lexicon,sea-salt,resolved,v1
29631686,22876851555,Countryside Creamery,lexicon,,resolved,v1
29631686,40919724365,Countryside Creamery,lexicon,salted sweet,resolved,v1
29631686,40919724364,Countryside Creamery,lexicon,sweet unsalted,resolved,v1
29631686,1000030409614267,Countryside Creamery,lexicon,,resolved,v1
29631686,1000030409614305,Countryside Creamery,lexicon,unsalted,resolved,v1
29631686,22646303708,Danimals,lexicon,strawberry,resolved,v1
29631686,22646303713,El Mexicano,lexicon,,resolved,v1
29631686,23215798434,El Mexicano,lexicon,sour,resolved,v1
29631686,22646303712,El Mexicano,lexicon,,resolved,v1
29631686,22646303714,El Mexicano,lexicon,,resolved,v1
29631686,31494306941,Elevation by Millville,lexicon,chocolate,resolved,v1
29631686,22646325362,Emporium Selection,lexicon,original,resolved,v1
29631686,22646303841,Emporium Selection,lexicon,fresh sliced,resolved,v1
29631686,1000030409614286,Emporium Selection,lexicon,,resolved,v1
29631686,22646325312,Emporium Selection,lexicon,plain,resolved,v1
